,p_steam,Theta,CAH,k_coat,delta_coat,N_s,alpha,bond
6609,501.9775390625,34.7998046875,25.37939453125,8.167285156250001,1.6837402343749998e-06,111817.29443359375,86495.48999848304,3.028566883455494
6610,144.2626953125,135.7373046875,25.37939453125,8.167285156250001,1.6837402343749998e-06,111817.29443359375,125802.67119091268,0.10810030593553589
6611,144.2626953125,34.7998046875,33.98388671875,8.167285156250001,1.6837402343749998e-06,111817.29443359375,61787.673011819716,4.02902919713284
6612,144.2626953125,34.7998046875,25.37939453125,0.6737304687500001,1.6837402343749998e-06,111817.29443359375,21293.733631510484,3.028566883455494
6613,144.2626953125,34.7998046875,25.37939453125,8.167285156250001,4.5687353515625e-05,111817.29443359375,13059.917508936727,3.028566883455494
6614,144.2626953125,34.7998046875,25.37939453125,8.167285156250001,1.6837402343749998e-06,575684.0180664062,67471.26235706986,3.028566883455494
6615,144.2626953125,135.7373046875,33.98388671875,0.6737304687500001,4.5687353515625e-05,575684.0180664062,3592.4594545028376,0.14381035836208142
6616,501.9775390625,34.7998046875,33.98388671875,0.6737304687500001,4.5687353515625e-05,575684.0180664062,2416.530532895251,4.02902919713284
6617,501.9775390625,135.7373046875,25.37939453125,0.6737304687500001,4.5687353515625e-05,575684.0180664062,3800.8431494579136,0.10810030593553585
6618,501.9775390625,135.7373046875,33.98388671875,8.167285156250001,4.5687353515625e-05,575684.0180664062,19913.167960002927,0.14381035836208142
6619,501.9775390625,135.7373046875,33.98388671875,0.6737304687500001,1.6837402343749998e-06,575684.0180664062,33343.82609915171,0.14381035836208142
6620,501.9775390625,135.7373046875,33.98388671875,0.6737304687500001,4.5687353515625e-05,111817.29443359375,3613.4347022843667,0.14381035836208142
6621,501.9775390625,135.7373046875,33.98388671875,0.6737304687500001,4.5687353515625e-05,575684.0180664062,3660.331422317807,0.14381035836208142
6622,2619.2626953125,119.7998046875,69.87939453125,3.2672851562500003,2.6633740234375e-05,611816.7944335938,19741.57779479302,0.48908171754022683
6623,2976.9775390625,119.7998046875,69.87939453125,3.2672851562500003,2.6633740234375e-05,611816.7944335938,19784.21530787596,0.48908171754022683
6624,2619.2626953125,50.7373046875,69.87939453125,3.2672851562500003,2.6633740234375e-05,611816.7944335938,15844.6853258271,3.6955606418613454
6625,2619.2626953125,119.7998046875,78.48388671875,3.2672851562500003,2.6633740234375e-05,611816.7944335938,19427.801826576964,0.5402196588073223
6626,2619.2626953125,119.7998046875,69.87939453125,5.573730468750001,2.6633740234375e-05,611816.7944335938,27878.476895184012,0.48908171754022683
6627,2619.2626953125,119.7998046875,69.87939453125,3.2672851562500003,2.0737353515625e-05,611816.7944335938,23220.589012799363,0.48908171754022683
6628,2619.2626953125,119.7998046875,69.87939453125,3.2672851562500003,2.6633740234375e-05,75684.51806640625,19083.520274525385,0.48908171754022683
6629,2619.2626953125,50.7373046875,78.48388671875,5.573730468750001,2.0737353515625e-05,75684.51806640625,25164.398315943974,4.08196511431426
6630,2976.9775390625,119.7998046875,78.48388671875,5.573730468750001,2.0737353515625e-05,75684.51806640625,30842.24144989825,0.5402196588073226
6631,2976.9775390625,50.7373046875,69.87939453125,5.573730468750001,2.0737353515625e-05,75684.51806640625,25641.416110024344,3.6955606418613454
6632,2976.9775390625,50.7373046875,78.48388671875,3.2672851562500003,2.0737353515625e-05,75684.51806640625,17937.875892539992,4.081965114314259
6633,2976.9775390625,50.7373046875,78.48388671875,5.573730468750001,2.6633740234375e-05,75684.51806640625,21517.563046250478,4.081965114314259
